,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,month_sold,year_built,year_renovated,Geo_Clusters
0,221900.0,3,1.0,1180,5650,1.0,0.0,0.0,3,7,1180,0.0,1340,5650,10,5.0,12,4
1,538000.0,3,2.25,2570,7242,2.0,0.0,0.0,3,7,2170,400.0,1690,7639,12,5.0,9,2
2,180000.0,2,1.0,770,10000,1.0,0.0,0.0,3,6,770,0.0,2720,8062,2,3.0,12,2
3,604000.0,4,3.0,1960,5000,1.0,0.0,0.0,5,7,1050,910.0,1360,5000,12,6.0,12,4
4,510000.0,3,2.0,1680,8080,1.0,0.0,0.0,3,8,1680,0.0,1800,7503,2,8.0,12,0
6,257500.0,3,2.25,1715,6819,2.0,0.0,0.0,3,7,1715,0.0,2238,6819,6,9.0,12,5
7,291850.0,3,1.5,1060,9711,1.0,0.0,0.0,3,7,1060,0.0,1650,9711,1,6.0,12,5
8,229500.0,3,1.0,1780,7470,1.0,0.0,0.0,3,7,1050,730.0,1780,8113,4,5.0,12,4
9,323000.0,3,2.5,1890,6560,2.0,0.0,0.0,3,7,1890,0.0,2390,7570,3,10.0,12,3
10,662500.0,3,2.5,3560,9796,1.0,0.0,0.0,3,8,1860,1700.0,2210,8925,4,6.0,12,0
11,468000.0,2,1.0,1160,6000,1.0,0.0,0.0,4,7,860,300.0,1330,6000,5,4.0,12,2
13,400000.0,3,1.75,1370,9680,1.0,0.0,0.0,4,7,1370,0.0,1370,10208,10,7.0,12,0
14,530000.0,5,2.0,1810,4850,1.5,0.0,0.0,3,7,1810,0.0,1360,4850,3,nan,12,2
15,650000.0,4,3.0,2950,5000,2.0,0.0,3.0,3,9,1980,970.0,2140,4000,1,7.0,12,4
16,395000.0,3,2.0,1890,14040,2.0,0.0,0.0,3,7,1890,0.0,1890,14018,7,9.0,12,0
17,485000.0,4,1.0,1600,4300,1.5,0.0,0.0,4,7,1600,0.0,1610,4300,5,1.0,12,2
18,189000.0,2,1.0,1200,9850,1.0,0.0,0.0,4,7,1200,0.0,1060,5095,12,2.0,12,5
19,230000.0,3,1.0,1250,9774,1.0,0.0,0.0,4,7,1250,0.0,1280,8850,4,6.0,12,5
20,385000.0,4,1.75,1620,4980,1.0,0.0,0.0,4,7,860,760.0,1400,4980,5,4.0,12,2
22,285000.0,5,2.5,2270,6300,2.0,0.0,0.0,3,8,2270,0.0,2240,7005,7,9.0,12,3
23,252700.0,2,1.5,1070,9643,1.0,0.0,0.0,3,7,1070,0.0,1220,8386,5,8.0,12,3
24,329000.0,3,2.25,2450,6500,2.0,0.0,0.0,4,8,2450,0.0,2200,6865,11,8.0,12,3
25,233000.0,3,2.0,1710,4697,1.5,0.0,0.0,5,6,1710,0.0,1030,4705,11,4.0,12,5
26,937000.0,3,1.75,2450,2691,2.0,0.0,0.0,3,8,1750,700.0,1760,3573,6,1.0,12,2
27,667000.0,3,1.0,1400,1581,1.5,0.0,0.0,5,8,1400,0.0,1860,3861,12,0.0,12,2
28,438000.0,3,1.75,1520,6380,1.0,0.0,0.0,3,7,790,730.0,1520,6235,6,4.0,12,2
29,719000.0,4,2.5,2570,7173,2.0,0.0,0.0,3,8,2570,0.0,2630,6026,3,10.0,12,0
30,580500.0,3,2.5,2320,3980,2.0,0.0,0.0,3,8,2320,0.0,2580,3980,11,10.0,12,1
31,280000.0,2,1.5,1190,1265,3.0,0.0,0.0,3,7,1190,0.0,1390,1756,12,10.0,12,2
32,687500.0,4,1.75,2330,5000,1.5,0.0,0.0,4,7,1510,820.0,1460,5000,6,2.0,12,2
33,535000.0,3,1.0,1090,3000,1.5,0.0,0.0,4,8,1090,0.0,1570,5080,11,2.0,12,2
34,322500.0,4,2.75,2060,6659,1.0,0.0,0.0,3,7,1280,780.0,2020,8720,12,8.0,12,1
35,696000.0,3,2.5,2300,3060,1.5,0.0,0.0,3,8,1510,790.0,1590,3264,6,2.0,10,2
37,640000.0,4,2.0,2360,6000,2.0,0.0,0.0,4,8,2360,0.0,1730,4700,12,0.0,12,2
38,240000.0,4,1.0,1220,8075,1.0,0.0,0.0,2,7,890,330.0,1290,7800,2,6.0,12,5
39,605000.0,4,2.5,2620,7553,2.0,0.0,0.0,3,8,2620,0.0,2620,11884,6,9.0,12,1
40,625000.0,4,2.5,2570,5520,2.0,0.0,0.0,3,9,2570,0.0,2470,5669,7,9.0,12,0
42,861990.0,5,2.75,3595,5639,2.0,0.0,0.0,3,9,3595,0.0,3625,5639,7,11.0,12,0
43,685000.0,3,1.0,1570,2280,2.0,0.0,0.0,3,7,1570,0.0,1580,2640,10,2.0,12,2
44,309000.0,3,1.0,1280,9656,1.0,0.0,0.0,4,6,920,360.0,1340,8808,7,5.0,12,1
45,488000.0,3,2.5,3160,13603,2.0,0.0,0.0,3,8,3160,0.0,3050,9232,7,10.0,12,0
46,210490.0,3,1.0,990,8528,1.0,0.0,0.0,3,6,990,0.0,1228,8840,3,6.0,12,5
47,785000.0,4,2.5,2290,13416,2.0,0.0,0.0,4,9,2290,0.0,2680,13685,7,8.0,12,0
48,450000.0,3,1.75,1250,5963,1.0,0.0,0.0,4,7,1250,0.0,970,5100,4,5.0,12,2
50,228000.0,3,1.0,1190,9199,1.0,0.0,0.0,3,7,1190,0.0,1190,9364,9,5.0,12,5
51,345000.0,5,2.5,3150,9134,1.0,0.0,0.0,4,8,1640,1510.0,1990,9133,2,6.0,12,1
52,600000.0,3,1.75,1410,4080,1.0,0.0,0.0,4,7,1000,410.0,1410,4080,12,4.0,12,2
53,585000.0,2,1.75,1980,8550,1.0,0.0,0.0,3,7,990,990.0,1480,6738,2,8.0,12,2
54,920000.0,5,2.25,2730,6000,1.5,0.0,0.0,3,8,2130,600.0,2730,6000,3,2.0,12,2
55,885000.0,4,2.5,2830,5000,2.0,0.0,0.0,3,9,2830,0.0,1950,5000,5,9.0,12,2
56,292500.0,4,2.5,2250,4495,2.0,0.0,0.0,3,7,2250,0.0,2250,4500,8,10.0,12,3
57,301000.0,3,2.5,2420,4750,2.0,0.0,0.0,3,8,2420,0.0,2690,4750,4,10.0,12,3
