,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,year_sold,month_sold,year_built,year_renovated,Geo_Clusters
0,221900.0,3,1.0,1180,5650,1.0,0.0,0.0,3,7,1180,0.0,1340,5650,2014,10,5.0,12,4
1,538000.0,3,2.25,2570,7242,2.0,0.0,0.0,3,7,2170,400.0,1690,7639,2014,12,5.0,9,2
2,180000.0,2,1.0,770,10000,1.0,0.0,0.0,3,6,770,0.0,2720,8062,2015,2,3.0,12,2
3,604000.0,4,3.0,1960,5000,1.0,0.0,0.0,5,7,1050,910.0,1360,5000,2014,12,6.0,12,4
4,510000.0,3,2.0,1680,8080,1.0,0.0,0.0,3,8,1680,0.0,1800,7503,2015,2,8.0,12,0
5,1230000.0,4,4.5,5420,101930,1.0,0.0,0.0,3,11,3890,1530.0,4760,101930,2014,5,10.0,12,0
6,257500.0,3,2.25,1715,6819,2.0,0.0,0.0,3,7,1715,0.0,2238,6819,2014,6,9.0,12,5
7,291850.0,3,1.5,1060,9711,1.0,0.0,0.0,3,7,1060,0.0,1650,9711,2015,1,6.0,12,5
8,229500.0,3,1.0,1780,7470,1.0,0.0,0.0,3,7,1050,730.0,1780,8113,2015,4,5.0,12,4
9,323000.0,3,2.5,1890,6560,2.0,0.0,0.0,3,7,1890,0.0,2390,7570,2015,3,10.0,12,3
10,662500.0,3,2.5,3560,9796,1.0,0.0,0.0,3,8,1860,1700.0,2210,8925,2015,4,6.0,12,0
11,468000.0,2,1.0,1160,6000,1.0,0.0,0.0,4,7,860,300.0,1330,6000,2014,5,4.0,12,2
12,310000.0,3,1.0,1430,19901,1.5,0.0,0.0,4,7,1430,0.0,1780,12697,2014,5,2.0,12,2
13,400000.0,3,1.75,1370,9680,1.0,0.0,0.0,4,7,1370,0.0,1370,10208,2014,10,7.0,12,0
14,530000.0,5,2.0,1810,4850,1.5,0.0,0.0,3,7,1810,0.0,1360,4850,2015,3,,12,2
15,650000.0,4,3.0,2950,5000,2.0,0.0,3.0,3,9,1980,970.0,2140,4000,2015,1,7.0,12,4
16,395000.0,3,2.0,1890,14040,2.0,0.0,0.0,3,7,1890,0.0,1890,14018,2014,7,9.0,12,0
17,485000.0,4,1.0,1600,4300,1.5,0.0,0.0,4,7,1600,0.0,1610,4300,2014,5,1.0,12,2
18,189000.0,2,1.0,1200,9850,1.0,0.0,0.0,4,7,1200,0.0,1060,5095,2014,12,2.0,12,5
19,230000.0,3,1.0,1250,9774,1.0,0.0,0.0,4,7,1250,0.0,1280,8850,2015,4,6.0,12,5
20,385000.0,4,1.75,1620,4980,1.0,0.0,0.0,4,7,860,760.0,1400,4980,2014,5,4.0,12,2
21,2000000.0,3,2.75,3050,44867,1.0,0.0,4.0,3,9,2330,720.0,4110,20336,2014,8,6.0,12,1
22,285000.0,5,2.5,2270,6300,2.0,0.0,0.0,3,8,2270,0.0,2240,7005,2014,7,9.0,12,3
23,252700.0,2,1.5,1070,9643,1.0,0.0,0.0,3,7,1070,0.0,1220,8386,2014,5,8.0,12,3
24,329000.0,3,2.25,2450,6500,2.0,0.0,0.0,4,8,2450,0.0,2200,6865,2014,11,8.0,12,3
25,233000.0,3,2.0,1710,4697,1.5,0.0,0.0,5,6,1710,0.0,1030,4705,2014,11,4.0,12,5
